No.,Time,Source,Destination,Protocol,Length,Info,Frame Type,Frame Control Field
10145,2361.866035,00:a0:50:5f:d9:e4:e8:6d,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10146,2361.871037,00:04:9f:3e:a7:83:2d:6a,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10147,2361.923168,00:04:9f:3e:a7:83:2d:6a,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10148,2361.928187,00:0d:6f:57:cd:75:ee:b4,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10149,2361.979805,00:0d:6f:57:cd:75:ee:b4,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10150,2361.984752,00:a0:50:c6:f0:44:a9:8c,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10151,2362.036735,00:a0:50:c6:f0:44:a9:8c,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10152,2362.041765,00:0d:6f:5b:38:ca:22:99,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10153,2362.09332,00:0d:6f:5b:38:ca:22:99,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10154,2362.098305,00:0d:6f:4d:15:9e:88:ea,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10155,2362.149888,00:0d:6f:4d:15:9e:88:ea,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10156,2362.155043,00:04:25:66:76:4b:4b:50,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10157,2362.206448,00:04:25:66:76:4b:4b:50,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
