No.,Time,Source,Destination,Protocol,Length,Info,Frame Type,Frame Control Field
10413,2369.284814,00:04:a3:f0:22:ef:26:21,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10414,2369.33622,00:04:a3:f0:22:ef:26:21,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10415,2369.34136,00:30:66:10:7a:89:86:b8,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10416,2369.392827,00:30:66:10:7a:89:86:b8,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10417,2369.397859,00:04:9f:5e:5f:d4:ea:b6,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10418,2369.44958,00:04:9f:5e:5f:d4:ea:b6,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10419,2369.454594,00:04:9f:50:95:6b:23:fb,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10420,2369.506237,00:04:9f:50:95:6b:23:fb,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10421,2369.511238,00:04:a3:e8:72:b0:0d:47,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10422,2369.563145,00:04:a3:e8:72:b0:0d:47,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10423,2369.567725,00:13:a2:2a:ff:d3:2f:5a,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10424,2369.619212,00:13:a2:2a:ff:d3:2f:5a,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10425,2369.62422,00:0d:6f:4f:9c:e4:38:4f,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10426,2369.675756,00:0d:6f:4f:9c:e4:38:4f,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10427,2369.680729,00:0d:6f:68:ee:4a:66:4c,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10428,2369.732467,00:0d:6f:68:ee:4a:66:4c,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10429,2369.737437,00:0b:57:4d:78:5e:1d:0c,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
